N,0,INPUT,0.09668236
N,1,INPUT,0.04582836
N,2,INPUT,0.6678299
N,3,INPUT,0.2970788
N,4,INPUT,0.4884365
N,5,INPUT,0.06464326
N,6,INPUT,0.4830448
N,7,INPUT,0.2581217
N,8,OUTPUT,0.8762674
N,9,OUTPUT,0.94986
W,0,0,8,True,0.4479404
W,1,1,8,True,0.930341
W,2,2,8,True,0.2301874
W,3,3,8,True,0.2056355
W,4,4,8,True,0.3852932
W,5,5,8,True,0.8500729
W,6,6,8,True,0.1061646
W,7,7,8,True,0.9783356
W,8,0,9,False,0.1286443
W,9,1,9,False,0.9098223
W,10,2,9,True,0.4417027
W,11,3,9,True,0.2213942
W,12,4,9,True,0.05659013
W,13,5,9,True,0.4454518
W,14,6,9,True,0.8969214
W,15,7,9,True,0.2749486
W,7,7,8,True,0.9052401
W,10,2,9,True,0.8884737
W,10,2,9,True,0.1755143
W,14,6,9,True,0.5578794
W,9,1,9,True,0.720996
W,8,0,9,True,0.03160337
